Albert Pujols,STL,2005,3,8.4,.330,.430,.609,41,117,16
Albert Pujols,STL,2009,3,9.7,.327,.443,.658,47,135,16
Albert Pujols,STL,2008,3,9.2,.357,.462,.653,37,116,7
Alex Rodriguez,TEX,2003,6,8.4,.298,.396,.600,47,118,17
Alex Rodriguez,NYY,2005,5,9.4,.321,.421,.610,48,130,21
Alex Rodriguez,NYY,2007,5,9.4,.314,.422,.645,54,156,24
Barry Bonds,SFG,1992,6,9.4,.311,.456,.624,34,103,39
Barry Bonds,SFG,1993,7,9.9,.336,.458,.677,46,123,29
Barry Bonds,SFG,2001,7,11.9,.328,.515,.863,73,137,13
Barry Bonds,SFG,2004,7,10.6,.362,.609,.812,45,101,6
Barry Bonds,SFG,2003,7,9.2,.341,.529,.749,45,90,7
Barry Bonds,SFG,2002,7,11.7,.370,.582,.799,46,110,9
Barry Larkin,CIN,1995,6,5.9,.319,.394,.492,15,66,51
Chipper Jones,ATL,1999,5,6.9,.319,.441,.633,45,110,25
Dustin Pedroia,BOS,2008,4,7.0,.326,.376,.493,17,83,20
Frank Thomas,CHW,1993,3,6.2,.317,.426,.607,41,128,4
Frank Thomas,CHW,1994,3,6.4,.353,.487,.729,38,101,2
Ichiro Suzuki,SEA,2001,8,7.7,.350,.381,.457,8,69,56
Ivan Rodriguez,TEX,1999,2,6.4,.332,.356,.558,35,113,25
Jason Giambi,OAK,2000,3,7.8,.333,.476,.647,43,137,2
Jeff Bagwell,HOU,1994,3,8.2,.368,.451,.750,39,116,15
Jeff Kent,SFG,2000,4,7.2,.334,.424,.596,33,125,12
Jimmy Rollins,PHI,2007,6,6.1,.296,.344,.531,30,94,41
Joe Mauer,MIN,2009,2,7.8,.365,.444,.587,28,96,4
Joey Votto,CIN,2010,3,7.0,.324,.424,.600,37,113,16
Josh Hamilton,TEX,2010,7,8.7,.359,.411,.633,32,100,8
Juan Gonzalez,TEX,1998,9,4.9,.318,.366,.630,45,157,2
Juan Gonzalez,TEX,1996,9,3.8,.314,.368,.643,47,144,2
Justin Morneau,MIN,2006,3,4.3,.321,.375,.559,34,130,3
Ken Caminiti,SDP,1996,5,7.6,.326,.408,.621,40,130,11
Ken Griffey Jr.,SEA,1997,8,9.1,.304,.382,.646,56,147,15
Larry Walker,COL,1997,9,9.8,.366,.452,.720,49,130,33
Miguel Tejada,OAK,2002,6,5.7,.308,.354,.508,34,131,7
Mo Vaughn,BOS,1995,3,4.3,.300,.388,.575,39,126,11
Ryan Howard,PHI,2006,3,5.2,.313,.425,.659,58,149,0
Sammy Sosa,CHC,1998,9,6.5,.308,.377,.647,66,158,18
Vladimir Guerrero,ANA,2004,9,5.6,.337,.391,.598,39,126,15
